mat,periodo,freq,semestre
3,1,0,2012.1
6,1,6,2003.1
9,1,1,2003.1
12,1,6,2003.1
15,1,6,2003.1
18,1,4,2003.1
21,1,0,2003.1
24,1,6,2003.1
27,1,4,2003.1
30,1,6,2003.1
33,1,6,2003.1
36,1,6,2003.1
39,1,6,2003.1
42,1,5,2003.1
45,1,6,2003.1
48,1,6,2003.1
51,1,6,2003.1
54,1,6,2003.1
57,1,6,2003.1
60,1,6,2003.1
63,1,6,2003.1
66,1,6,2003.1
69,1,6,2003.1
72,1,5,2003.1
75,1,4,2003.1
78,1,6,2003.1
81,1,6,2009.2
84,1,6,2009.2
87,1,6,2005.1
90,1,6,2005.2
93,1,6,2005.1
96,1,6,2005.1
99,1,6,2005.1
102,1,6,2005.1
105,1,6,2005.1
108,1,0,2008.1
111,1,6,2008.1
114,1,6,2008.1
117,1,6,2008.1
120,1,6,2008.1
123,1,6,2008.1
126,1,6,2008.1
129,1,6,2008.1
132,1,6,2008.1
135,1,6,2008.1
138,1,6,2008.1
141,1,6,2008.1
144,1,6,2008.1
147,1,6,2008.1
150,1,6,2008.1
153,1,6,2008.1
156,1,6,2008.1
159,1,6,2008.1
162,1,6,2008.1
165,1,3,2008.1
168,1,6,2008.1
171,1,6,2008.1
174,1,6,2008.1
177,1,6,2008.1
180,1,6,2002.1
183,1,6,2002.1
186,1,6,2002.1
189,1,6,2002.1
192,1,6,2002.1
195,1,6,2002.1
198,1,6,2002.1
201,1,6,2002.1
204,1,6,2002.1
207,1,6,2002.1
210,1,6,2002.1
213,1,6,2002.1
216,1,6,2002.1
219,1,6,2002.1
222,1,6,2002.1
225,1,6,2002.1
228,1,6,2009.1
231,1,6,2009.1
234,1,6,2005.2
237,1,6,2006.1
240,1,6,2006.1
243,1,0,2012.2
246,1,0,2011.2
249,1,0,2011.2
252,1,5,2008.2
255,1,6,2008.2
258,1,5,2008.2
261,1,6,2008.2
264,1,6,2008.2
267,1,6,2008.2
270,1,6,2008.2
273,1,0,2010.1
276,1,6,2010.1
279,1,6,2010.1
282,1,1,2010.1
285,1,6,2010.1
288,1,6,2010.1
291,1,6,2010.1
294,1,6,2010.1
297,1,0,2010.1
300,1,2,2012.1
303,1,6,2009.2
306,1,6,2010.2
309,1,0,2009.1
312,1,6,2009.1
315,1,6,2009.1
318,1,4,2009.1
321,1,6,2009.1
324,1,3,2009.1
327,1,6,2009.1
330,1,6,2009.1
333,1,0,2012.2
336,1,0,2011.2
339,1,0,2011.2
